image_id,image_path,official_split,image_width,image_height,image_channels,ma_mask_path,he_mask_path,ex_mask_path,se_mask_path,optic_disc_mask_path,ma_mask_present,he_mask_present,ex_mask_present,se_mask_present,optic_disc_mask_present,ma_foreground_pixels,he_foreground_pixels,ex_foreground_pixels,se_foreground_pixels,optic_disc_foreground_pixels
IDRiD_01,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_01.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_01_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_01_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_01_EX.tif,NA,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_01_OD.tif,1,1,1,0,1,6941,35430,113286,0,213851
IDRiD_02,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_02.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_02_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_02_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_02_EX.tif,NA,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_02_OD.tif,1,1,1,0,1,9446,17356,135394,0,203568
IDRiD_03,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_03.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_03_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_03_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_03_EX.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\4. Soft Exudates\IDRiD_03_SE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_03_OD.tif,1,1,1,1,1,11288,162605,301586,3318,239059
IDRiD_04,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_04.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_04_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_04_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_04_EX.tif,NA,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_04_OD.tif,1,1,1,0,1,804,59383,5557,0,183591
IDRiD_05,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_05.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_05_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_05_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_05_EX.tif,NA,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_05_OD.tif,1,1,1,0,1,3994,9850,8286,0,216213
IDRiD_06,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_06.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_06_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_06_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_06_EX.tif,NA,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_06_OD.tif,1,1,1,0,1,9923,25507,59053,0,271648
IDRiD_07,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_07.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_07_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_07_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_07_EX.tif,NA,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_07_OD.tif,1,1,1,0,1,12623,31951,167489,0,205432
IDRiD_08,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_08.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_08_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_08_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_08_EX.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\4. Soft Exudates\IDRiD_08_SE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_08_OD.tif,1,1,1,1,1,4188,37203,20368,38340,205755
IDRiD_09,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_09.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_09_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_09_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_09_EX.tif,NA,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_09_OD.tif,1,1,1,0,1,35141,84849,254276,0,259259
IDRiD_10,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\1. Original Images\a. Training Set\IDRiD_10.jpg,TRAIN,4288,2848,3,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_10_MA.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_10_HE.tif,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_10_EX.tif,NA,D:\SIH_Dataset\IDRID\A. Segmentation\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_10_OD.tif,1,1,1,0,1,33484,92658,805250,0,214988
