imageId,split
IDRiD_001,TRAIN
IDRiD_001test,TRAIN
IDRiD_002,VALIDATION
IDRiD_003,TRAIN
IDRiD_004,TRAIN
IDRiD_004test,TRAIN
IDRiD_005,VALIDATION
IDRiD_005test,TRAIN
IDRiD_006,TEST
IDRiD_006test,TRAIN
IDRiD_007,VALIDATION
IDRiD_007test,TRAIN
IDRiD_008,TRAIN
IDRiD_008test,TRAIN
IDRiD_009,TRAIN
IDRiD_009test,TRAIN
IDRiD_010,TRAIN
IDRiD_010test,TEST
IDRiD_011,TEST
IDRiD_011test,TRAIN
IDRiD_012,TEST
IDRiD_012test,TRAIN
IDRiD_013,VALIDATION
IDRiD_013test,TRAIN
IDRiD_014,TRAIN
IDRiD_014test,TRAIN
IDRiD_015,TRAIN
IDRiD_015test,VALIDATION
IDRiD_016,TRAIN
IDRiD_016test,TRAIN
IDRiD_017,TEST
IDRiD_017test,VALIDATION
IDRiD_018,TRAIN
IDRiD_018test,TRAIN
IDRiD_019,TRAIN
IDRiD_019test,TRAIN
IDRiD_020,TRAIN
IDRiD_020test,TRAIN
IDRiD_021test,TRAIN
IDRiD_022,TRAIN
IDRiD_022test,VALIDATION
IDRiD_023,TRAIN
IDRiD_023test,VALIDATION
IDRiD_024,VALIDATION
IDRiD_024test,TRAIN
IDRiD_025,TRAIN
IDRiD_025test,TEST
IDRiD_026,VALIDATION
IDRiD_026test,TRAIN
IDRiD_027,TRAIN
IDRiD_027test,TRAIN
IDRiD_028,VALIDATION
IDRiD_028test,TRAIN
IDRiD_029,TRAIN
IDRiD_029test,TRAIN
IDRiD_030,TRAIN
IDRiD_030test,TEST
IDRiD_031,TRAIN
IDRiD_031test,TRAIN
IDRiD_032,TEST
IDRiD_032test,TRAIN
IDRiD_033,TRAIN
IDRiD_033test,TRAIN
IDRiD_034,TRAIN
IDRiD_034test,TRAIN
IDRiD_035,VALIDATION
IDRiD_035test,TRAIN
IDRiD_036test,TRAIN
IDRiD_037,TRAIN
IDRiD_037test,VALIDATION
IDRiD_038,TRAIN
IDRiD_038test,TRAIN
IDRiD_039,TRAIN
IDRiD_040,TRAIN
IDRiD_040test,TEST
IDRiD_041,TRAIN
IDRiD_042,TRAIN
IDRiD_042test,TEST
IDRiD_043,TRAIN
IDRiD_044,TRAIN
IDRiD_044test,TRAIN
IDRiD_045,TRAIN
IDRiD_046,TEST
IDRiD_047,TRAIN
IDRiD_048,TEST
IDRiD_048test,TRAIN
IDRiD_049,VALIDATION
IDRiD_049test,TRAIN
IDRiD_050,TRAIN
IDRiD_051,TRAIN
IDRiD_051test,TEST
IDRiD_052,TEST
IDRiD_053,TRAIN
IDRiD_053test,TRAIN
IDRiD_054,TRAIN
IDRiD_055,TRAIN
IDRiD_055test,TRAIN
IDRiD_056,TRAIN
IDRiD_057,TRAIN
IDRiD_057test,TRAIN
IDRiD_058,TRAIN
IDRiD_058test,TRAIN
IDRiD_059,VALIDATION
IDRiD_059test,TRAIN
IDRiD_060,TRAIN
IDRiD_060test,TRAIN
IDRiD_061,TRAIN
IDRiD_061test,TRAIN
IDRiD_062,TRAIN
IDRiD_062test,TRAIN
IDRiD_063,TEST
IDRiD_063test,TEST
IDRiD_064,TEST
IDRiD_064test,TRAIN
IDRiD_065,TRAIN
