image_id,official_split,dev_split
IDRiD_01,TRAIN,DEV_TRAIN
IDRiD_02,TRAIN,DEV_TRAIN
IDRiD_03,TRAIN,DEV_TRAIN
IDRiD_04,TRAIN,DEV_TRAIN
IDRiD_05,TRAIN,DEV_VAL
IDRiD_06,TRAIN,DEV_TRAIN
IDRiD_07,TRAIN,DEV_VAL
IDRiD_08,TRAIN,DEV_TRAIN
IDRiD_09,TRAIN,DEV_VAL
IDRiD_10,TRAIN,DEV_TRAIN
IDRiD_11,TRAIN,DEV_TRAIN
IDRiD_12,TRAIN,DEV_TRAIN
IDRiD_13,TRAIN,DEV_TRAIN
IDRiD_14,TRAIN,DEV_TRAIN
IDRiD_15,TRAIN,DEV_TRAIN
IDRiD_16,TRAIN,DEV_VAL
IDRiD_17,TRAIN,DEV_VAL
IDRiD_18,TRAIN,DEV_VAL
IDRiD_19,TRAIN,DEV_VAL
IDRiD_20,TRAIN,DEV_TRAIN
IDRiD_21,TRAIN,DEV_TRAIN
IDRiD_22,TRAIN,DEV_TRAIN
IDRiD_23,TRAIN,DEV_TRAIN
IDRiD_24,TRAIN,DEV_VAL
IDRiD_25,TRAIN,DEV_TRAIN
IDRiD_26,TRAIN,DEV_TRAIN
IDRiD_27,TRAIN,DEV_VAL
IDRiD_28,TRAIN,DEV_TRAIN
IDRiD_29,TRAIN,DEV_TRAIN
IDRiD_30,TRAIN,DEV_VAL
IDRiD_31,TRAIN,DEV_TRAIN
IDRiD_32,TRAIN,DEV_TRAIN
IDRiD_33,TRAIN,DEV_TRAIN
IDRiD_34,TRAIN,DEV_TRAIN
IDRiD_35,TRAIN,DEV_TRAIN
IDRiD_36,TRAIN,DEV_TRAIN
IDRiD_37,TRAIN,DEV_TRAIN
IDRiD_38,TRAIN,DEV_TRAIN
IDRiD_39,TRAIN,DEV_TRAIN
IDRiD_40,TRAIN,DEV_TRAIN
IDRiD_41,TRAIN,DEV_TRAIN
IDRiD_42,TRAIN,DEV_TRAIN
IDRiD_43,TRAIN,DEV_TRAIN
IDRiD_44,TRAIN,DEV_TRAIN
IDRiD_45,TRAIN,DEV_TRAIN
IDRiD_46,TRAIN,DEV_TRAIN
IDRiD_47,TRAIN,DEV_TRAIN
IDRiD_48,TRAIN,DEV_TRAIN
IDRiD_49,TRAIN,DEV_TRAIN
IDRiD_50,TRAIN,DEV_VAL
IDRiD_51,TRAIN,DEV_TRAIN
IDRiD_52,TRAIN,DEV_TRAIN
IDRiD_53,TRAIN,DEV_TRAIN
IDRiD_54,TRAIN,DEV_TRAIN
IDRiD_55,TEST,OFFICIAL_TEST
IDRiD_56,TEST,OFFICIAL_TEST
IDRiD_57,TEST,OFFICIAL_TEST
IDRiD_58,TEST,OFFICIAL_TEST
IDRiD_59,TEST,OFFICIAL_TEST
IDRiD_60,TEST,OFFICIAL_TEST
IDRiD_61,TEST,OFFICIAL_TEST
IDRiD_62,TEST,OFFICIAL_TEST
IDRiD_63,TEST,OFFICIAL_TEST
IDRiD_64,TEST,OFFICIAL_TEST
IDRiD_65,TEST,OFFICIAL_TEST
IDRiD_66,TEST,OFFICIAL_TEST
IDRiD_67,TEST,OFFICIAL_TEST
IDRiD_68,TEST,OFFICIAL_TEST
IDRiD_69,TEST,OFFICIAL_TEST
IDRiD_70,TEST,OFFICIAL_TEST
IDRiD_71,TEST,OFFICIAL_TEST
IDRiD_72,TEST,OFFICIAL_TEST
IDRiD_73,TEST,OFFICIAL_TEST
IDRiD_74,TEST,OFFICIAL_TEST
IDRiD_75,TEST,OFFICIAL_TEST
IDRiD_76,TEST,OFFICIAL_TEST
IDRiD_77,TEST,OFFICIAL_TEST
IDRiD_78,TEST,OFFICIAL_TEST
IDRiD_79,TEST,OFFICIAL_TEST
IDRiD_80,TEST,OFFICIAL_TEST
IDRiD_81,TEST,OFFICIAL_TEST
